Tag,Count,UDTag,Note,,,UD Tag,,
ADVI,114,ADV,,,,Open class words,Closed class words,Other
ADVN,4973,ADV,,,,ADJ,ADP,PUNCT
ADVP,206,ADV,,,,ADV,AUX,SYM
ADVS,272,ADV,,,,INTJ,CCONJ,X
CFQC,271,NOUN,Classifiers are mapped to noun,,,NOUN,DET,
CLTV,800,NOUN,,,,PROPN,NUM,
CMTR,1601,NOUN,,,,VERB,PART,
CNIT,2173,NOUN,,,,,PRON,
CVBL,5,NOUN,,,,,SCONJ,
DCNM,4230,NUM,หนึ่ง 2,,,,,
DDAC,2943,DET,,,,,,
DDAN,776,DET,,,,,,
DDAQ,49,DET,พอดี ถ้วน,,,,,
DDBQ,690,DET,ทั้ง อีก เพียง,,,,,
DIAC,1554,DET,ไหน อื่น ต่างๆ,,,,,
DIAQ,16,DET,กว่า เศษ,,,,,
DIBQ,1573,DET,บาง ประมาณ เกือบ,,,,,
DONM,2314,DET,,,,,,
EAFF,18,PART,,,,,,
EITT,99,PART,,,,,,
FIXN,14834,NOUN,,,,,,
FIXV,794,NOUN,,,,,,
JCMP,460,CCONJ,,,,,,
JCRG,8979,SCONJ,กว่า เหมือนกับ เท่ากับ,,,,,
JSBR,12716,SCONJ,,,,,,
NCMN,82691,NOUN,Common noun,,,,,
NCNM,2142,NUM,number,,,,,
NEG,1352,ADV,Negator,,,,,
NLBL,3581,NOUN,Label Noun,,,,,
NONM,9,NOUN,Ordinal number,,,,,
NPRP,5101,PROPN,,,,,,
NTTL,518,NOUN,,,,,,
PDMN,686,PRON,,,,,,
PNTR,123,PRON,,,,,,
PPRS,581,PRON,,,,,,
PREL,7164,PRON,,,,,,
PUNC,68560,PUNCT,,,,,,
RPRE,26545,ADP,,,,,,
VACT,37002,VERB,,,,,,
VATT,6490,VERB,,,,,,
VSTA,18824,VERB,,,,,,
XVAE,7465,AUX,,,,,,
XVAM,3895,AUX,,,,,,
XVBB,2,AUX,,,,,,
XVBM,5928,AUX,,,,,,
XVMM,1523,AUX,,,,,,