Tag,Count,UDTag
ADVI,114,ADV
ADVN,4973,ADV
ADVP,206,ADV
ADVS,272,ADV
CFQC,271,NOUN
CLTV,800,NOUN
CMTR,1601,NOUN
CNIT,2173,NOUN
CVBL,5,NOUN
DCNM,4230,NUM
DDAC,2943,DET
DDAN,776,DET
DDAQ,49,DET
DDBQ,690,DET
DIAC,1554,DET
DIAQ,16,DET
DIBQ,1573,DET
DONM,2314,DET
EAFF,18,PART
EITT,99,PART
FIXN,14834,NOUN
FIXV,794,NOUN
JCMP,460,CCONJ
JCRG,8979,SCONJ
JSBR,12716,SCONJ
NCMN,82691,NOUN
NCNM,2142,NUM
NEG,1352,ADV
NLBL,3581,NOUN
NONM,9,NOUN
NPRP,5101,PROPN
NTTL,518,NOUN
PDMN,686,PRON
PNTR,123,PRON
PPRS,581,PRON
PREL,7164,PRON
PUNC,68560,PUNCT
RPRE,26545,ADP
VACT,37002,VERB
VATT,6490,VERB
VSTA,18824,VERB
XVAE,7465,AUX
XVAM,3895,AUX
XVBB,2,AUX
XVBM,5928,AUX
XVMM,1523,AUX